NAME	exact-patterns	fuzzy-patterns	exact-rules+patterns	fuzzy-rules+patterns
0.1	0,59714514	0,773988897700238	0,72038954	0,825636192271442
0.15	0,59714514	0,773988897700238	0,72038954	0,825636192271442
0.2	0,59714514	0,773988897700238	0,72038954	0,825636192271442
0.25	0,59714514	0,773988897700238	0,72038954	0,825636192271442
0.3	0,59856915	0,774244833068362	0,72106916	0,825786163522013
0.35	0,59856915	0,774244833068362	0,72106916	0,825786163522013
0.4	0,59856915	0,774244833068362	0,72106916	0,825786163522013
0.45	0,6017488	0,776629570747218	0,72197735	0,826511335012594
0.5	0,6070569	0,783480352846832	0,7244866	0,829383886255924
0.55	0,6070569	0,783480352846832	0,7244866	0,829383886255924
0.6	0,6308333	0,814166666666667	0,7354073	0,841885824246312
0.65	0,6315789	0,81453634085213	0,73579454	0,842054574638844
0.7	0,571308	0,812658227848101	0,71796525	0,842562781712814
0.75	0,44289693	0,696378830083566	0,7491152	0,866692882422336
0.8	0,44817927	0,700280112044818	0,7500984	0,866981503345139
0.85	0,41456583	0,700280112044818	0,7453758	0,866981503345139
0.9	0,41369048	0,690476190476191	0,74811584	0,867909559698532
0.95	0,5208333	0,854166666666667	0,7920315	0,907180385288967
