NAME	exact-patterns	fuzzy-patterns	exact-rules+patterns	fuzzy-rules+patterns
0.1	0,101908244	0,132088239274597	0,31032616	0,355663824604141
0.15	0,101908244	0,132088239274597	0,31032616	0,355663824604141
0.2	0,101908244	0,132088239274597	0,31032616	0,355663824604141
0.25	0,101908244	0,132088239274597	0,31032616	0,355663824604141
0.3	0,101908244	0,131817566653133	0,31032616	0,355393151982677
0.35	0,101908244	0,131817566653133	0,31032616	0,355393151982677
0.4	0,101908244	0,131817566653133	0,31032616	0,355393151982677
0.45	0,10244959	0,13222357558533	0,31032616	0,355257815671945
0.5	0,10244959	0,13222357558533	0,31032616	0,355257815671945
0.55	0,10244959	0,13222357558533	0,31032616	0,355257815671945
0.6	0,10244959	0,13222357558533	0,31032616	0,355257815671945
0.65	0,10231425	0,131952902963865	0,31019083	0,354987143050481
0.7	0,09162268	0,130328867235079	0,30179998	0,354175125186087
0.75	0,021518473	0,0338340776830424	0,25781566	0,298281228853701
0.8	0,02165381	0,0338340776830424	0,25795102	0,298145892542969
0.85	0,020029774	0,0338340776830424	0,25632697	0,298145892542969
0.9	0,018811747	0,0313980240898633	0,25524428	0,296115847881987
0.95	0,0033834078	0,00554878874001895	0,24482338	0,280416835837055
